iter	Passed	Remaining
0	1	173
1	3	178
2	5	168
3	6	160
4	8	164
5	10	165
6	11	156
7	12	149
8	14	144
9	15	140
10	16	137
11	18	136
12	20	136
13	22	135
14	23	132
15	24	130
16	26	128
17	27	125
18	28	123
19	30	122
20	32	120
21	33	120
22	35	119
23	37	119
24	38	116
25	40	114
26	41	112
27	42	110
28	44	108
29	46	107
30	47	106
31	49	105
32	50	103
33	52	101
34	53	99
35	54	97
36	56	95
37	57	94
38	59	93
39	61	91
40	63	90
41	64	88
42	65	86
43	66	85
44	68	83
45	69	81
46	70	79
47	72	78
48	74	77
49	75	75
50	77	74
51	78	72
52	79	70
53	81	69
54	81	67
55	83	65
56	84	64
57	86	62
58	87	61
59	90	60
60	91	58
61	93	57
62	94	55
63	95	53
64	97	52
65	98	50
66	100	49
67	101	47
68	103	46
69	104	44
70	106	43
71	107	41
72	108	40
73	109	38
74	111	37
75	113	35
76	114	34
77	116	32
78	118	31
79	120	30
80	121	28
81	122	26
82	124	25
83	125	23
84	127	22
85	129	21
86	131	19
87	133	18
88	135	16
89	136	15
90	137	13
91	139	12
92	140	10
93	142	9
94	144	7
95	145	6
96	147	4
97	148	3
98	149	1
99	151	0
