iter	Passed	Remaining
0	164	164131
1	166	83064
2	168	55935
3	170	42365
4	174	34751
5	177	29381
6	179	25518
7	181	22520
8	183	20179
9	186	18444
10	189	17047
11	191	15795
12	193	14690
13	195	13742
14	197	12942
15	199	12260
16	201	11679
17	204	11158
18	206	10678
19	209	10247
20	211	9877
21	213	9491
22	215	9142
23	217	8836
24	219	8542
25	220	8262
26	222	8030
27	225	7815
28	226	7598
29	228	7404
30	231	7229
31	233	7067
32	237	6957
33	239	6798
34	241	6651
35	243	6517
36	245	6399
37	247	6264
38	250	6183
39	253	6083
40	255	5978
41	257	5884
42	260	5788
43	263	5725
44	265	5632
45	267	5539
46	268	5454
47	270	5372
48	272	5296
49	275	5226
50	277	5165
51	279	5095
52	281	5033
53	283	4974
54	286	4918
55	289	4884
56	291	4822
57	293	4760
58	294	4702
59	297	4658
60	299	4605
61	302	4573
62	304	4527
63	306	4480
64	308	4439
65	311	4402
66	313	4364
67	316	4344
68	318	4299
69	320	4254
70	322	4214
71	324	4180
72	326	4142
73	328	4104
74	331	4084
75	332	4045
76	334	4008
77	336	3974
78	337	3939
79	340	3913
80	342	3885
81	344	3859
82	346	3827
83	347	3793
84	349	3762
85	351	3734
86	353	3707
87	356	3691
88	358	3668
89	360	3640
90	361	3612
91	363	3589
92	365	3565
93	367	3543
94	372	3550
95	374	3524
96	375	3497
97	376	3469
98	378	3440
99	379	3415
100	381	3394
101	384	3386
102	387	3370
103	388	3346
104	389	3323
105	391	3301
106	393	3280
107	395	3263
108	398	3260
109	401	3246
110	403	3230
111	405	3211
112	406	3192
113	408	3173
114	410	3156
115	414	3155
116	416	3140
117	418	3125
118	419	3107
119	421	3094
120	424	3080
121	427	3077
122	429	3064
123	431	3050
124	433	3035
125	435	3018
126	436	3002
127	438	2988
128	441	2979
129	443	2968
130	445	2954
131	447	2941
132	449	2929
133	451	2918
134	455	2916
135	457	2906
136	459	2896
137	461	2882
138	463	2868
139	465	2860
140	469	2858
141	471	2848
142	472	2833
143	474	2821
144	476	2812
145	488	2857
146	490	2846
147	493	2839
148	497	2842
149	502	2846
150	503	2833
151	504	2817
152	506	2806
153	511	2807
154	514	2803
155	516	2795
156	519	2787
157	521	2777
158	526	2785
159	529	2777
160	530	2765
161	532	2753
162	534	2746
163	536	2736
164	540	2735
165	542	2726
166	545	2719
167	547	2712
168	550	2706
169	553	2703
170	556	2696
171	557	2686
172	560	2678
